NewsID,popularity_score
N55689,1.0
N17059,0.7378296438730702
N23814,0.671034534496547
N49685,0.9245156487047413
N8400,0.4649550029147202
N21119,0.3578995434753817
N33619,0.9659715088888075
N55204,0.7380777640092684
N33885,0.8304124685535612
N51048,0.9004316125661395
N53585,0.9498028380139337
N61622,0.192279229755327
N23805,0.5787340751568744
N21420,0.7358259104868117
N43073,0.5679104819496008
N55943,0.7520941867406614
N8373,0.6393854349486722
N20495,0.7489676957279827
N19542,0.5860322096612676
N61022,0.8099959321813295
N63550,0.7424580029860357
N12042,0.43139565036273086
N35729,0.9695953779428059
N287,0.9155458012532195
N59673,0.8366548482166017
N26649,0.5173918574383441
N35815,0.7157990869507634
N47020,0.8350145047911932
N55268,0.192279229755327
N64252,0.572952149971786
N58114,0.6177167024260024
N18947,0.410257773578506
N12029,0.7219121520490905
N7121,0.7096710871936711
N32182,0.7322364189494144
N31978,0.7471436938457484
N7041,0.3235302230573072
N2823,0.605580984626118
N6056,0.7296048190994222
N41881,0.8720246005750001
N58410,0.5427865309604119
N52585,0.44934983550091867
N30089,0.3980978151774148
N48019,0.5235198571954365
N49279,0.9232597128004495
N3344,0.6913594880336024
N60374,0.565832693880297
N18870,0.7595701607781625
N43266,0.4673686163706814
N11817,0.7207716202115054
N20079,0.6837955825074615
N64184,0.47432999132413783
N6477,0.7915343185999129
N58363,0.8817177024553522
N53017,0.7840139006912388
N20746,0.6156627297265845
N25088,0.4520963887059477
N47981,0.5912273674023647
N16804,0.5806008288028989
N13259,0.6149701492209734
N14184,0.7784883007407334
N39317,0.7466833086801183
N18151,0.5349065455659752
N45389,0.5335411615315263
N30035,0.48714259366920387
N65185,0.6156627297265845
N9473,0.5489780615898534
N28213,0.6287325582091885
N39010,0.7671899449454848
N14408,0.5023337973887245
N34185,0.8051472167760056
N45509,0.719620095126564
N41224,0.5582619386105749
N41165,0.4968609411601642
N25467,0.5075668880727146
N44516,0.5453017776021171
N59450,0.2324775014573601
N34724,0.5142058072227583
N59981,0.7236027906765639
N54541,0.16562031372005473
N61359,0.5250039732079208
N55582,0.6370988617510939
N24180,0.5719606936373893
N24272,0.7448238189608083
N47035,0.5758780872985608
N50570,0.33124062744010946
N58710,0.4376849868123195
N23254,0.40229016822954616
N36442,0.3384834390434738
N29001,0.5440507734736163
N54232,0.4809079720374423
N11930,0.2324775014573601
N2886,0.3637284947593403
N48017,0.7355730642492859
N46607,0.6416290652562456
N27961,0.5571401481841651
N36545,0.646528285757497
N57614,0.585143954248752
N30475,0.6701624882696796
N24550,0.34531214346398775
N11830,0.6891401709154912
N15194,0.6773795548449005
N46917,0.6243189237405136
N42977,0.866062292148065
N47061,0.8017048714786422
N19444,0.655267607149241
N1539,0.7861876589580582
N63970,0.9384540571768526
N17843,0.2625019866039604
N28983,0.5402171888671883
N3123,0.7943528719292432
N28072,0.6491656953500288
N20678,0.7599835515111687
N62729,0.6370988617510939
N18312,0.5749107151901578
N47817,0.6502045697452332
N34876,0.7878332745443924
N38248,0.2625019866039604
N2878,0.41405078430013686
N56193,0.7363300032289434
N56214,0.8439232121251937
N806,0.192279229755327
N26179,0.6849611508026783
N41717,0.6100062980432002
N54125,0.565832693880297
N25124,0.4177270682878732
N23414,0.8098600938464711
N55645,0.5307626687988009
N26932,0.33124062744010946
N36752,0.6527629073892587
N8957,0.6388178813746946
N22457,0.6491656953500288
N62360,0.8810454729707661
N13801,0.6697240664835833
N52000,0.5903770449327418
N3894,0.6210634143353915
N58155,0.4465386516193677
N26262,0.8409220804956513
N51570,0.6810308686574729
N35567,0.30643399351033934
N18572,0.3980978151774148
N64916,0.6475902465510879
N57097,0.6615442320169017
N54595,0.3796814638820623
N15990,0.1312509933019802
N44422,0.6864977610870734
N2169,0.49497948806132047
N26091,0.43458170057831674
N54489,0.8363285763634624
N26025,0.6666092210794649
N61768,0.7035430874365787
N47380,0.3937529799059406
N52426,0.16562031372005473
N6926,0.6841853701375281
N36186,0.6475902465510879
N25163,0.48510032508957346
N38159,0.6299642165676466
N5442,0.774352740412436
N61429,0.2750893866153544
N51398,0.6359389516435047
N16439,0.6615442320169017
N31273,0.6033053005323743
N32544,0.7875059598118812
N41020,0.8409220804956513
N38404,0.5264698787482051
N14029,0.8022855277985271
N21882,0.5427865309604119
N12493,0.6652490188802681
N9621,0.6814297665326889
N44249,0.5075668880727146
N4021,0.7112328061985802
N6837,0.7595701607781625
N29212,0.7802426612321077
N41387,0.7172832029632478
N21707,0.7378296438730702
N40725,0.6399503050441926
N59142,0.512580342656904
N49712,0.7443543888769291
N6390,0.5895206269095251
N4510,0.6620136621007809
N36789,0.7739862683378462
N49180,0.8370884958892232
N51853,0.5842490451756495
N19592,0.7934207230965912
N27581,0.7516525233813224
N35854,0.5142058072227583
N32437,0.3637284947593403
N29128,0.6853471601938604
N2476,0.286476074985893
N32691,0.618393586971184
N54482,0.6190666580620781
N19661,0.810267146378708
N23508,0.192279229755327
N50872,0.6731872017927693
N55261,0.21406115016200755
N63538,0.6502045697452332
N23446,0.9038838302455781
N38779,0.8729900183750245
N41697,0.3235302230573072
N52471,0.5023337973887245
N23429,0.5189535764432531
